;0.0;0.05;0.1;0.15000000000000002;0.2;0.25;0.30000000000000004;0.35000000000000003;0.4
3;(0.0, 0.0);(0.007394690151838381, 0.009867375749639255);(0.02835836757543452, 0.03791166133160413);(0.05952742352565467, 0.07970528069041571);(0.09614569882689804, 0.12864994028766097);(0.1329638875841209, 0.17701835456839268);(0.16504727135189656, 0.217174214442656);(0.18841491501140892, 0.24277779258358212);(0.06847847168206055, 0.2497868469743442)
4;(0.0, 0.0);(0.007394354904151609, 0.009867375749639255);(0.028338448623354644, 0.03791166133160413);(0.05932644709159612, 0.07970528069041571);(0.09518786887838442, 0.12864994028766097);(0.12998235324946503, 0.17701835456839268);(0.15802125875504158, 0.217174214442656);(0.1748148231533371, 0.24277779258358212);(0.05266682168266633, 0.2497868469743442)
5;(0.0, 0.0);(0.0073943543320013835, 0.009867375749639255);(0.02833831221468533, 0.03791166133160413);(0.05932333925899752, 0.07970528069041571);(0.09516148846660233, 0.12864994028766097);(0.12985434842971863, 0.17701835456839268);(0.15759088219018255, 0.217174214442656);(0.1737022678409623, 0.24277779258358212);(0.05225092496969142, 0.2497868469743442)
6;(0.0, 0.0);(0.009867375749638882, 0.009867375749639255);(0.03791166132966382, 0.03791166133160413);(0.07970528044811041, 0.07970528069041571);(0.128649933043941, 0.12864994028766097);(0.17701825640143715, 0.17701835456839268);(0.21717341303636775, 0.217174214442656);(0.24277320482498402, 0.24277779258358212);(0.24977344716311123, 0.2497868469743442)
7;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
8;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
9;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
10;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
11;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
12;(0.0, 0.0);(0.009867375749639366, 0.009867375749639255);(0.037911661331604306, 0.03791166133160413);(0.07970528069041587, 0.07970528069041571);(0.128649940287661, 0.12864994028766097);(0.17701835456839307, 0.17701835456839268);(0.21717421444265567, 0.217174214442656);(0.2427777925835821, 0.24277779258358212);(0.24978684697434406, 0.2497868469743442)
