;0.08;0.16;0.32;0.4
0;-32.99913095139373;-35.127362657243;-33.74106829612311;-33.74106829612311
1;-32.99913095139373;-35.127362657243;-33.74106829612311;-33.74106829612311
2;-32.99913095139373;-35.127362657243;-33.74106829612311;-33.74106829612311
3;-32.99913095139373;-35.127362657243;-33.74106829612311;-33.74106829612311
4;-32.99913095139373;-35.127362657243;-33.74106829612311;-33.74106829612311
5;-30.226542229153953;-22.207976544498585;-15.250122561104458;-19.612908456675395
6;-25.947563970379516;-20.06670238102388;-13.20154936750169;-10.88269703370245
7;-23.428804456819794;-18.670824027138533;-11.797936352428973;-8.45075952463734
8;-23.781588008887052;-16.341652677035455;-10.86660694528091;-8.314531401387296
9;-21.866704848513923;-15.702649760906814;-9.832811181415655;-7.769096651465449
10;-19.528906020798587;-14.719291771386313;-8.771454577970074;-7.795820897754948
11;-18.096014148079696;-13.721042473159821;-7.2912464598693;-6.288142808742409
12;-16.41160027328941;-12.188151463962633;-5.360280755532752;-6.050465640814005
13;-14.913080027687789;-11.649862387519521;-3.543364153742334;-2.691038163127722
14;-1.8751775620119995;-1.7891952743397785;0.09145391297341103;0.9840993522775119
