N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
6,QAOA,TFIM,-10,2,6,hypersphere,10,3.6,0.9590260234374822,-38.51422645674743,-40.22146583569907,-40.22146583570215
6,QAOA,TFIM,-10,2,6,hypersphere,10,48.0,0.999999999999997,-40.18147782531518,-40.181477825315085,-40.18147782531518
6,QAOA,TFIM,-10,2,6,hypersphere,10,39.0,0.9999999999999574,-40.18147782531519,-40.1814778253133,-40.18147782531519
6,QAOA,TFIM,-10,2,6,hypersphere,10,27.0,0.9999999999999807,-40.18147782531517,-40.18147782531398,-40.18147782531517
6,QAOA,TFIM,-10,2,6,hypersphere,10,39.0,0.9999999999999831,-40.22146583570172,-40.22146583570208,-40.22146583570172
6,QAOA,TFIM,-10,2,6,hypersphere,10,58.0,1.8114246570563e-12,-40.221465835702034,-40.181477825315014,-40.221465835702034
6,QAOA,TFIM,-10,2,6,hypersphere,10,2.5925925925925926,0.8171271219456513,-34.416565344918226,-40.22146583570129,-40.22146583570052
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.3225806451612903,0.9092938693234089,-35.6946851919055,-40.22146583570212,-40.22146583570222
6,QAOA,TFIM,-10,2,6,hypersphere,10,37.0,0.9999999999999981,-40.18147782531517,-40.18147782531512,-40.18147782531517
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.8620689655172413,0.9717484977676544,-38.62905238966039,-40.181477825314964,-40.181477825314744
6,QAOA,TFIM,-10,2,6,hypersphere,10,45.0,7.589679520054573e-12,-40.22146583570208,-40.181477825314566,-40.22146583570208
6,QAOA,TFIM,-10,2,6,hypersphere,10,72.0,0.999999999999989,-40.181477825315106,-40.18147782531456,-40.181477825315106
6,QAOA,TFIM,-10,2,6,hypersphere,10,63.0,6.324019629960354e-12,-40.18147782531517,-40.221465835700755,-40.18147782531517
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.6896551724137931,0.013347343882744719,-36.107843446320494,-40.221465835701245,-40.18147782531386
6,QAOA,TFIM,-10,2,6,hypersphere,10,42.0,8.947957414250865e-13,-40.22146583570226,-40.18147782531501,-40.22146583570226
6,QAOA,TFIM,-10,2,6,hypersphere,10,31.0,0.9999999999999899,-40.181477825315106,-40.18147782531499,-40.181477825315106
6,QAOA,TFIM,-10,2,6,hypersphere,10,45.0,0.9999999999999917,-40.1814778253151,-40.181477825315,-40.1814778253151
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.6896551724137931,0.9011872073963002,-35.85462414804018,-40.18147782531495,-40.181477825315135
6,QAOA,TFIM,-10,2,6,hypersphere,10,62.0,3.055396858279819e-12,-40.18147782531514,-40.22146583570146,-40.18147782531514
6,QAOA,TFIM,-10,2,6,hypersphere,10,44.0,9.86835016915187e-13,-40.18147782531508,-40.22146583570218,-40.18147782531508
6,QAOA,TFIM,-10,2,6,hypersphere,10,35.0,0.9999999999999811,-40.22146583570173,-40.22146583570151,-40.22146583570173
6,QAOA,TFIM,-10,2,6,hypersphere,10,2.9642857142857144,0.8276927750243414,-34.51041074012183,-40.18147782531321,-40.18147782531447
6,QAOA,TFIM,-10,2,6,hypersphere,10,38.0,0.9999999999999386,-40.221465835701956,-40.22146583570007,-40.221465835701956
6,QAOA,TFIM,-10,2,6,hypersphere,10,1.0,0.7210488803636428,-32.419848637962225,-40.221465835699725,-40.22146583570214
6,QAOA,TFIM,-10,2,6,hypersphere,10,58.0,2.195021157413308e-12,-40.181477825315135,-40.22146583570163,-40.181477825315135
4,QAOA,TFIM,-10,2,6,hypersphere,10,36.0,0.9999999999999938,-21.448347894518378,-21.448347894518328,-21.448347894518378
4,QAOA,TFIM,-10,2,6,hypersphere,10,33.0,0.9999999999999469,-21.44834789451836,-21.448347894518133,-21.44834789451836
