N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.8235294117647058,0.999999992367715,-4.653055829174024,-4.653055889414603,-4.653055889416565
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.7692307692307692,0.9906442039576012,-4.6530558141408696,-4.653055889414465,-4.653055889392966
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.1176470588235294,0.9999999911941864,-4.653055841903476,-4.653055889396206,-4.65305588940786
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.588235294117647,0.9999999698424047,-4.6530557818239044,-4.653055889410503,-4.653055889399148
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.1538461538461537,0.9999998593191187,-4.65305551827625,-4.6530558894090275,-4.653055889408636
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.7333333333333334,0.999999939233565,-4.653055727068849,-4.653055889415438,-4.653055889406469
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.1764705882352942,0.0957444837131047,-4.6530556248797215,-1.9999999999999472,-4.653055889412238
4,QAOA,TFIM,-1,2,6,hypersphere,10,3.3333333333333335,0.9999999800239284,-4.653055755511282,-4.653055889416904,-4.653055889410582
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.6296296296296298,0.020739589619836636,-1.2873320633148242,-4.653055889416299,-4.653055887043289
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.5625,0.9999999323521739,-4.653055658509066,-4.653055889416643,-4.653055889415195
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.066666666666667,0.9999999912373662,-4.653055871457406,-4.653055889415524,-4.653055889409132
4,QAOA,TFIM,-1,2,6,hypersphere,10,4.857142857142857,0.9906356425869401,-4.653055887188245,-4.653055889417167,-4.653055888654735
4,QAOA,TFIM,-1,2,6,hypersphere,10,2.6,0.9999999246730964,-1.999999534154822,-1.9999999999982452,-1.9999999999999645
4,QAOA,TFIM,-1,2,6,hypersphere,10,1.4285714285714286,0.09578240760537529,-4.6530558720687845,-1.9999999999872031,-4.6530558894171
