
N, ansatz, model, coupling, layers, order, boundary, iterations, method, nfev-ratio, overlap, E_a, E_t, E_a_t, time
2,QAOA,TFIM,-1,2,6,hypersphere,10,Nelder-Mead,2.2,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,Powell,11.0,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,CG,11.0,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,BFGS,11.0,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,L-BFGS-B,11.0,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,TNC,3.667,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,2.2,1.0,-2.236,-2.236,-2.236
2,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,3.667,1.0,-2.236,-2.236,-2.236
3,QAOA,TFIM,-1,4,6,hypersphere,10,Nelder-Mead,0.773,0.741,-1.314,-3.494,-3.491
3,QAOA,TFIM,-1,4,6,hypersphere,10,Powell,1.7,1.0,-3.494,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,CG,1.7,1.0,-3.494,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,BFGS,1.7,1.0,-3.494,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,L-BFGS-B,1.214,0.987,-3.402,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,TNC,1.889,1.0,-3.494,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.7,1.0,-3.494,-3.494,-3.494
3,QAOA,TFIM,-1,4,6,hypersphere,10,SLSQP,1.308,0.999,-3.489,-3.494,-3.494
4,QAOA,TFIM,-1,4,6,hypersphere,10,Nelder-Mead,1.214,0.991,-4.697,-4.735,-4.721,13.064661026000977
4,QAOA,TFIM,-1,4,6,hypersphere,10,Powell,0.354,0.449,0.208,-4.735,-4.735,19.333168029785156
4,QAOA,TFIM,-1,4,6,hypersphere,10,CG,0.708,0.805,-3.075,-4.735,-4.721,24.36555314064026
4,QAOA,TFIM,-1,4,6,hypersphere,10,BFGS,1.0,0.986,-4.674,-4.735,-4.695,11.09560775756836
4,QAOA,TFIM,-1,4,6,hypersphere,10,L-BFGS-B,1.0,0.986,-4.674,-4.735,-4.695,11.62694501876831
4,QAOA,TFIM,-1,4,6,hypersphere,10,TNC,1.7,1.0,-4.732,-4.735,-4.735,7.8266921043396
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.417,0.999,-4.73,-4.735,-4.735,8.26927375793457
4,QAOA,TFIM,-1,4,6,hypersphere,10,SLSQP,1.545,0.999,-4.73,-4.735,-4.735,7.150918960571289
5,QAOA,TFIM,-1,6,6,hypersphere,10,Nelder-Mead,0.536,0.033,-0.154,-6.013,-5.939,246.40226817131042
5,QAOA,TFIM,-1,6,6,hypersphere,10,Powell,0.517,0.308,0.499,-6.013,-6.013,333.20094776153564
5,QAOA,TFIM,-1,6,6,hypersphere,10,CG,0.312,0.058,-0.79,-6.013,-5.997,2788.2518560886383
5,QAOA,TFIM,-1,6,6,hypersphere,10,BFGS,0.411,0.054,-1.056,-6.013,-5.983,439.5145573616028
5,QAOA,TFIM,-1,6,6,hypersphere,10,L-BFGS-B,0.833,0.664,-3.171,-6.013,-5.943,266.305202960968
5,QAOA,TFIM,-1,6,6,hypersphere,10,TNC,0.291,0.953,-5.517,-6.013,-5.998,420.66663885116577
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.429,0.987,-5.925,-6.013,-6.013,147.14011788368225
5,QAOA,TFIM,-1,6,6,hypersphere,10,SLSQP,1.2,0.989,-5.93,-6.013,-6.013,97.13893675804138
6,QAOA,TFIM,-1,6,6,hypersphere,10,Nelder-Mead,0.357,0.875,-6.3,-7.269,-7.246,824.5754818916321
6,QAOA,TFIM,-1,6,6,hypersphere,10,Powell,0.286,0.132,0.983,-7.269,-7.252,1399.684674024582
2,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,2.2,1.0,-2.236,-2.236,-2.236,2.006800889968872
2,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,3.667,1.0,-2.236,-2.236,-2.236,0.5798630714416504
3,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.7,1.0,-3.494,-3.494,-3.494,7.559099912643433
3,QAOA,TFIM,-1,4,6,hypersphere,10,SLSQP,1.308,0.999,-3.489,-3.494,-3.494,5.0583460330963135
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.417,0.999,-4.73,-4.735,-4.735,8.34325098991394
4,QAOA,TFIM,-1,4,6,hypersphere,10,SLSQP,1.545,0.999,-4.73,-4.735,-4.735,7.306737899780273
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.429,0.987,-5.925,-6.013,-6.013,149.81247806549072
5,QAOA,TFIM,-1,6,6,hypersphere,10,SLSQP,1.2,0.989,-5.93,-6.013,-6.013,96.50415587425232
2,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,2.2,1.0,-2.236,-2.236,-2.236,2.602067232131958
3,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.308,0.999,-3.489,-3.494,-3.494,5.836200952529907
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.545,0.999,-4.73,-4.735,-4.735,9.384484767913818
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.111,0.977,-5.825,-6.013,-6.013,176.49807596206665
2,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,2.2,1.0,-2.236,-2.236,-2.236,2.14975905418396
3,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.417,0.999,-3.489,-3.494,-3.494,5.763092041015625
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.545,0.999,-4.73,-4.735,-4.735,9.516802072525024
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,0.938,0.974,-5.782,-6.013,-6.013,187.45415902137756
2,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,3.533,1.0,-2.236,-2.236,-2.236,2.292459011077881
3,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.049,0.999,-3.489,-3.494,-3.494,9.170247793197632
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.132,0.999,-4.73,-4.735,-4.735,11.957749128341675
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.118,0.974,-5.782,-6.013,-6.013,286.18091678619385
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.118,0.974,-5.782,-6.013,-6.013,309.6059491634369
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,0.774,0.999,-4.73,-4.735,-4.735,23.54822826385498
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,0.774,0.999,-4.73,-4.735,-4.735,24.579465866088867
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,0.898,0.974,-5.782,-6.013,-6.013,341.20512104034424
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.125,0.974,-5.782,-6.013,-6.013,312.7
4,QAOA,TFIM,-1,4,6,hypersphere,10,COBYLA,1.132,0.999,-4.73,-4.735,-4.735,27.3
6,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.216,0.951,-6.796,-7.269,-7.269,967.0
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.125,0.974,-5.782,-6.013,-6.013,399.6
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,0.898,0.974,-5.782,-6.013,-6.013,426.2
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.118,0.974,-5.782,-6.013,-6.013,400.6
5,QAOA,TFIM,-1,6,6,hypersphere,10,COBYLA,1.265,0.974,-5.782,-6.013,-6.013,358.0
5,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,1.0,0.041,-0.747,-3.643,-3.0,112.1
5,QAOA,TFIM,-1,2,6,hypersphere,10,COBYLA,1.0,0.992,-5.834,-5.897,-5.897,113.6
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.0,0.999,-5.887,-5.897,-5.897,111.1
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.019,0.999,-5.887,-5.897,-5.897,110.5
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.0,0.999,-5.887,-5.897,-5.897,112.6
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.129,0.999,-5.887,-5.897,-5.897,108.8
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.129,0.999,-5.887,-5.897,-5.897,100.9
3,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.291,0.992,-3.385,-3.484,-3.484,36.5
5,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.0,0.982,-5.721,-5.897,-5.897,175.1
8,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.0,0.983,-9.381,-9.487,-9.482,966.9
8,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,5.525,0.983,-9.381,-9.487,-9.482,572.4
8,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,5.525,0.983,-9.381,-9.487,-9.482,568.3
9,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,2.793,0.964,-10.331,-10.705,-10.726,990.1
10,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,2.079,0.948,-11.336,-11.903,-11.905,2317.1
11,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.745,0.897,-11.954,-13.113,-13.14,4381.3
12,QAOA,TFIM,-1,2,6,hypersphere,10,SLSQP,1.337,0.907,-13.298,-14.317,-14.322,8838.4
6,QAOA,TFIM,-1,4,6,hypersphere,10,SLSQP,0.408,0.998,-7.166,-7.147,-7.245,7086.6
6,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,8.154,1.0,-6.0,-6.0,-6.0,30.9
7,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,8.533,1.0,-7.0,-7.0,-7.0,42.6
6,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,0.606,0.969,-7.063,-7.147,-7.227,446.7
8,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,23.389,0.505,-1.0,-1.0,-1.0,97.9
10,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,3.067,0.48,-0.911,-1.0,-1.0,916.3
3,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,18.562,0.784,-1.0,-1.0,-1.0,51.4
4,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,3.831,0.033,-0.954,-1.0,-1.0,210.0
5,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,41.667,0.524,-1.0,-1.0,-1.0,202.4
6,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,2.521,0.0,-0.999,-1.0,-1.0,182.0
7,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,4.673,0.365,-0.993,-1.0,-1.0,366.9
8,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,3.287,0.141,-0.961,-1.0,-1.0,540.8
9,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,3.61,0.0,-0.986,-1.0,-1.0,4348.8
10,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,4.63,0.0,-0.972,-1.0,-1.0,448.2
3,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,18.053,0.998,-2.991,-3.0,-3.0,58.8
4,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,7.431,0.0,-2.791,-3.0,-3.0,109.0
5,QAOA,TFIM,-1,4,4,hypersphere,10,SLSQP,7.903,0.014,-2.552,-3.0,-3.0,245.7
3,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,18.053,0.998,-2.991,-3.0,-3.0,57.4
4,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,7.431,0.0,-2.791,-3.0,-3.0,109.4
5,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,7.903,0.014,-2.552,-3.0,-3.0,242.5
3,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,18.053,0.998,-2.991,-3.0,-3.0,60.0
4,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,7.431,0.0,-2.791,-3.0,-3.0,111.5
5,QAOA,TFIM,-1,3,4,hypersphere,10,SLSQP,7.903,0.014,-2.552,-3.0,-3.0,243.1
